objid,ra,dec,petroMag_i,petroMag_z,petroMag_u,petroMag_g,petroMag_r,ur,p_cs,p_el
1237648720718463453,236.247091428751,-0.475267501380959,17.44605,17.31469,19.39074,18.31912,17.75938,1.631357,0.635999977588654,0.273000001907349
1237655693557039417,236.286881373933,-0.518010131758228,17.14555,16.91024,19.3333,18.01149,17.47548,1.857815,0.818000018596649,0.151999995112419
1237648720718528920,236.342179881979,-0.467013875964142,16.80176,16.67285,19.45918,17.96717,17.17272,2.286459,0.763000011444092,0.210999995470047
1237655693557104837,236.350124752162,-0.598233636460736,16.47274,16.34864,19.14499,17.61519,16.88352,2.261471,0.456999987363815,0.513999998569489
1237655693557104878,236.369359345215,-0.57443326350921,16.23002,15.94919,18.38239,17.35907,16.68672,1.695667,0.922999978065491,0.0769999995827675
1237648720718529014,236.397317917802,-0.493447689647703,15.15793,14.9655,17.2282,16.04973,15.53314,1.695059,1,0
1237648720718594388,236.445321293553,-0.506316022940237,17.18148,16.91422,18.82823,17.75128,17.42102,1.407204,0.367000013589859,0.266999989748001
1237655693557170708,236.547640257428,-0.549311638582546,17.09167,16.82593,19.68284,18.18847,17.49746,2.185385,0.73199999332428,0.26800000667572
1237655693557170522,236.576129163799,-0.558344388813785,17.54507,17.44203,19.47289,18.29471,17.76043,1.71246,0.0939999967813492,0.340000003576279
1237655693557170541,236.587726753778,-0.554431378638754,15.55203,15.14524,18.39577,16.97747,16.07128,2.32449,0.852999985218048,0.146999999880791
1237655693557236020,236.673675029712,-0.619378743109033,17.32625,17.00113,20.14079,18.56793,17.76937,2.37142,0.291999995708466,0.541999995708466
1237655693557236194,236.765948997693,-0.546532117627321,17.09394,16.71346,20.11519,18.49959,17.56071,2.55448,0.75,0.214000001549721
1237655693557236288,236.699224129715,-0.53875773085617,17.48367,17.00813,25.26061,19.4508,18.0795,7.181116,0.0320000015199184,0.773999989032745
1237655693557301860,236.840004326659,-0.56723899542077,17.60933,17.38321,21.19443,19.78625,18.23415,2.960278,0.0520000010728836,0.828000009059906
